DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.87:8080
DEBUG:urllib3.connectionpool:http://192.168.1.87:8080 "GET /api/parts?page=1&itemsPerPage=500 HTTP/11" 200 None
DEBUG:urllib3.connectionpool:http://192.168.1.87:8080 "GET /api/parts?page=2&itemsPerPage=500 HTTP/11" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.87:8080
DEBUG:urllib3.connectionpool:http://192.168.1.87:8080 "GET /api/info HTTP/11" 200 None
DEBUG:urllib3.connectionpool:http://192.168.1.87:8080 "GET /api/parts?page=1&itemsPerPage=500 HTTP/11" 200 None
DEBUG:urllib3.connectionpool:http://192.168.1.87:8080 "GET /api/parts?page=2&itemsPerPage=500 HTTP/11" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.87:8080
DEBUG:urllib3.connectionpool:http://192.168.1.87:8080 "GET /api/info HTTP/11" 200 None
DEBUG:urllib3.connectionpool:http://192.168.1.87:8080 "GET /api/parts?page=1&itemsPerPage=500 HTTP/11" 200 None
DEBUG:urllib3.connectionpool:http://192.168.1.87:8080 "GET /api/parts?page=2&itemsPerPage=500 HTTP/11" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.87:80
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.87:8080
DEBUG:urllib3.connectionpool:http://192.168.1.87:8080 "GET /api/info HTTP/11" 200 None
DEBUG:urllib3.connectionpool:http://192.168.1.87:8080 "GET /api/parts?page=1&itemsPerPage=500 HTTP/11" 200 None
DEBUG:urllib3.connectionpool:http://192.168.1.87:8080 "GET /api/parts?page=2&itemsPerPage=500 HTTP/11" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): 192.168.1.87:8080
DEBUG:urllib3.connectionpool:http://192.168.1.87:8080 "GET /api/info HTTP/11" 200 None
